id;name;description;tip_autovehicule;dealer_id
1;Industrial;connect Markets Chief;MOTOCILCETE;Aruba
2;software scale interactive;Louisiana Specialist Home Loan Account;TOATE;Small
3;deliverables reinvent 24 hour;overriding;TOATE;deposit Internal
4;Investment Account archive Fantastic Plastic Chicken;payment;MOTOCILCETE;Frozen bus
5;hard drive Robust Networked;Poland;AUTOMOBILE;Dynamic
6;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;AUTOMOBILE;neutral Salad
7;Auto Loan Account modular Refined;digital maroon;MOTOCILCETE;Direct
8;Profit-focused;Jewelery cutting-edge;MOTOCILCETE;supply-chains magenta
9;encompassing;Directives;MOTOCILCETE;facilitate Tasty Concrete Chips Exclusive
10;Buckinghamshire capability zero tolerance;mission-critical;AUTOMOBILE;Granite Berkshire Designer
