id;htrocarno;resdealerid;anfabricatieciv;tipautovehicul;codculoareexterior;descculoareexterior;vopseametalizata;culoareinterior;observatii;locatie;omologareind;lunasosireintara;rezervata;dataexpirarerez
1;47157;60610;41184;scalable Configuration calculating;infrastructures Mobility Representative;Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet
2;74760;43874;50272;Grass-roots Regional;Mali Unbranded Concrete Soap;Cotton Tactics;array Belize Dollar;optical;Borders reboot;mobile Cheese;program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing
3;12748;60395;39728;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;vortals value-added;Salad Connecticut;Generic Advanced;HDD Security Virginia;solid state Clothing deposit;Maine Checking Account markets
4;73644;10424;93436;Chief Coves Concrete;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National;interactive capacitor;Idaho Grocery;Concrete Towels Avon
5;41892;3387;91484;integrated;modular red;payment;Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale;indigo National;Expressway;Tools Street
6;56484;58745;6570;synthesize;Macedonia Japan;target Rhode Island;Intelligent;SDD Mobility;didactic Dynamic;schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible
7;79991;56944;17854;payment Re-contextualized Licensed;Producer;SAS parsing;Branding Concrete;eco-centric Senior;deposit;fuchsia Music Salad;withdrawal circuit;generating frictionless solution-oriented;distributed Computers;Money Market Account users Guinea
8;43612;86106;29446;Metrics;back-end Fresh Missouri;Central digital supply-chains;Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow
9;1099;14001;13688;Future;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;black Beauty
10;26226;16201;59507;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered
